layer_idx,module_type,layer_name,max_val,min_val,mean_val,kurtosis
29,Attention,self_attn.k_proj,39.75,-10.0,0.87253034,4.834091
29,Attention,self_attn.v_proj,39.75,-10.0,0.87253034,4.834091
29,Attention,self_attn.o_proj,3.46875,-3.265625,0.09354998,17.00271
29,MLP,mlp.gate_proj,39.5,-14.375,0.884249,5.6617346
29,MLP,mlp.up_proj,39.5,-14.375,0.884249,5.6617346
29,MLP,mlp.down_proj,35.0,-41.5,0.26582465,110.10693
0,Attention,self_attn.q_proj,0.203125,-0.203125,0.021508267,0.115965605
0,Attention,self_attn.k_proj,0.203125,-0.203125,0.021508267,0.115965605
0,Attention,self_attn.v_proj,0.203125,-0.203125,0.021508267,0.115965605
0,Attention,self_attn.o_proj,0.40625,-0.40234375,0.0036147146,203.56143
0,MLP,mlp.gate_proj,0.703125,-0.41796875,0.018557753,24.409525
0,MLP,mlp.up_proj,0.703125,-0.41796875,0.018557753,24.409525
0,MLP,mlp.down_proj,0.10839844,-0.03466797,0.0002244346,1546.2756
1,Attention,self_attn.q_proj,1.203125,-0.984375,0.03483986,14.958492
1,Attention,self_attn.k_proj,1.203125,-0.984375,0.03483986,14.958492
1,Attention,self_attn.v_proj,1.203125,-0.984375,0.03483986,14.958492
1,Attention,self_attn.o_proj,0.49023438,-0.40039062,0.00580443,42.90511
1,MLP,mlp.gate_proj,1.2890625,-1.0390625,0.038632445,13.674522
1,MLP,mlp.up_proj,1.2890625,-1.0390625,0.038632445,13.674522
1,MLP,mlp.down_proj,0.55859375,-0.15625,0.0006015763,13604.623
2,Attention,self_attn.q_proj,1.453125,-1.578125,0.054317467,8.831143
2,Attention,self_attn.k_proj,1.453125,-1.578125,0.054317467,8.831143
2,Attention,self_attn.v_proj,1.453125,-1.578125,0.054317467,8.831143
2,Attention,self_attn.o_proj,0.66015625,-1.3984375,0.007449883,421.0745
2,MLP,mlp.gate_proj,1.5078125,-1.7578125,0.060260523,7.737734
2,MLP,mlp.up_proj,1.5078125,-1.7578125,0.060260523,7.737734
2,MLP,mlp.down_proj,0.24609375,-2.09375,0.0011878929,132554.62
3,Attention,self_attn.q_proj,3.140625,-2.359375,0.07723662,6.603402
3,Attention,self_attn.k_proj,3.140625,-2.359375,0.07723662,6.603402
3,Attention,self_attn.v_proj,3.140625,-2.359375,0.07723662,6.603402
3,Attention,self_attn.o_proj,0.953125,-2.078125,0.0095651075,970.7841
3,MLP,mlp.gate_proj,3.34375,-2.59375,0.08333794,6.424371
3,MLP,mlp.up_proj,3.34375,-2.59375,0.08333794,6.424371
3,MLP,mlp.down_proj,0.6953125,-0.48828125,0.002217901,1000.39935
4,Attention,self_attn.q_proj,3.5625,-2.796875,0.10522403,5.5388317
4,Attention,self_attn.k_proj,3.5625,-2.796875,0.10522403,5.5388317
4,Attention,self_attn.v_proj,3.5625,-2.796875,0.10522403,5.5388317
4,Attention,self_attn.o_proj,1.15625,-0.890625,0.013229696,111.5202
4,MLP,mlp.gate_proj,3.828125,-2.96875,0.114886455,5.1439686
4,MLP,mlp.up_proj,3.828125,-2.96875,0.114886455,5.1439686
4,MLP,mlp.down_proj,0.6484375,-1.328125,0.00374665,700.2227
5,Attention,self_attn.q_proj,4.125,-3.03125,0.1320466,4.0253053
5,Attention,self_attn.k_proj,4.125,-3.03125,0.1320466,4.0253053
5,Attention,self_attn.v_proj,4.125,-3.03125,0.1320466,4.0253053
5,Attention,self_attn.o_proj,1.3828125,-1.578125,0.025190538,30.31839
5,MLP,mlp.gate_proj,4.15625,-2.984375,0.14245376,4.421988
5,MLP,mlp.up_proj,4.15625,-2.984375,0.14245376,4.421988
5,MLP,mlp.down_proj,0.94921875,-1.8125,0.007514817,272.0377
6,Attention,self_attn.q_proj,4.875,-3.21875,0.16654786,4.4605117
6,Attention,self_attn.k_proj,4.875,-3.21875,0.16654786,4.4605117
6,Attention,self_attn.v_proj,4.875,-3.21875,0.16654786,4.4605117
6,Attention,self_attn.o_proj,1.609375,-1.5078125,0.04669925,12.655751
6,MLP,mlp.gate_proj,5.3125,-3.453125,0.18633968,5.1373777
6,MLP,mlp.up_proj,5.3125,-3.453125,0.18633968,5.1373777
6,MLP,mlp.down_proj,2.171875,-1.703125,0.012230989,201.60577
7,Attention,self_attn.q_proj,5.875,-3.84375,0.2030586,5.003786
7,Attention,self_attn.k_proj,5.875,-3.84375,0.2030586,5.003786
7,Attention,self_attn.v_proj,5.875,-3.84375,0.2030586,5.003786
7,Attention,self_attn.o_proj,1.6484375,-1.5703125,0.051097658,11.785233
7,MLP,mlp.gate_proj,6.0625,-4.125,0.22365876,4.8327713
7,MLP,mlp.up_proj,6.0625,-4.125,0.22365876,4.8327713
7,MLP,mlp.down_proj,2.9375,-3.0625,0.018745735,158.16644
8,Attention,self_attn.q_proj,7.84375,-4.4375,0.23072335,5.8024483
8,Attention,self_attn.k_proj,7.84375,-4.4375,0.23072335,5.8024483
8,Attention,self_attn.v_proj,7.84375,-4.4375,0.23072335,5.8024483
8,Attention,self_attn.o_proj,1.7265625,-1.84375,0.0637926,10.489266
8,MLP,mlp.gate_proj,9.25,-4.71875,0.24358924,7.050273
8,MLP,mlp.up_proj,9.25,-4.71875,0.24358924,7.050273
8,MLP,mlp.down_proj,1.4921875,-9.3125,0.019460035,1851.3585
9,Attention,self_attn.q_proj,17.5,-4.8125,0.25083512,16.324783
9,Attention,self_attn.k_proj,17.5,-4.8125,0.25083512,16.324783
9,Attention,self_attn.v_proj,17.5,-4.8125,0.25083512,16.324783
9,Attention,self_attn.o_proj,1.7265625,-1.90625,0.06681131,9.849093
9,MLP,mlp.gate_proj,26.0,-5.0,0.26968703,46.929264
9,MLP,mlp.up_proj,26.0,-5.0,0.26968703,46.929264
9,MLP,mlp.down_proj,17.375,-4.53125,0.023634246,11162.338
10,Attention,self_attn.q_proj,41.5,-5.09375,0.26961175,273.13376
10,Attention,self_attn.k_proj,41.5,-5.09375,0.26961175,273.13376
10,Attention,self_attn.v_proj,41.5,-5.09375,0.26961175,273.13376
10,Attention,self_attn.o_proj,1.890625,-1.78125,0.06658291,10.322136
10,MLP,mlp.gate_proj,46.0,-5.21875,0.28592068,337.3974
10,MLP,mlp.up_proj,46.0,-5.21875,0.28592068,337.3974
10,MLP,mlp.down_proj,2.125,-41.75,0.026038432,152373.92
11,Attention,self_attn.q_proj,60.0,-6.09375,0.28124338,937.1687
11,Attention,self_attn.k_proj,60.0,-6.09375,0.28124338,937.1687
11,Attention,self_attn.v_proj,60.0,-6.09375,0.28124338,937.1687
11,Attention,self_attn.o_proj,2.390625,-2.328125,0.095628716,10.1435175
11,MLP,mlp.gate_proj,60.5,-6.15625,0.2971811,805.5045
11,MLP,mlp.up_proj,60.5,-6.15625,0.2971811,805.5045
11,MLP,mlp.down_proj,10.8125,-15.3125,0.025321037,6964.3774
12,Attention,self_attn.q_proj,62.5,-6.5625,0.29231292,975.4114
12,Attention,self_attn.k_proj,62.5,-6.5625,0.29231292,975.4114
12,Attention,self_attn.v_proj,62.5,-6.5625,0.29231292,975.4114
12,Attention,self_attn.o_proj,3.421875,-4.46875,0.0743818,12.114649
12,MLP,mlp.gate_proj,62.75,-6.625,0.3117324,795.71423
12,MLP,mlp.up_proj,62.75,-6.625,0.3117324,795.71423
12,MLP,mlp.down_proj,6.40625,-14.0625,0.028551003,5258.506
13,Attention,self_attn.q_proj,66.0,-7.28125,0.31080416,963.7082
13,Attention,self_attn.k_proj,66.0,-7.28125,0.31080416,963.7082
13,Attention,self_attn.v_proj,66.0,-7.28125,0.31080416,963.7082
13,Attention,self_attn.o_proj,19.875,-13.25,0.15228543,131.46161
13,MLP,mlp.gate_proj,65.5,-7.1875,0.32187238,831.99347
13,MLP,mlp.up_proj,65.5,-7.1875,0.32187238,831.99347
13,MLP,mlp.down_proj,19.375,-17.125,0.030569637,10423.976
14,Attention,self_attn.q_proj,67.5,-7.78125,0.31659946,945.27966
14,Attention,self_attn.k_proj,67.5,-7.78125,0.31659946,945.27966
14,Attention,self_attn.v_proj,67.5,-7.78125,0.31659946,945.27966
14,Attention,self_attn.o_proj,4.46875,-7.375,0.11493903,14.020199
14,MLP,mlp.gate_proj,67.5,-7.84375,0.337801,767.656
14,MLP,mlp.up_proj,67.5,-7.84375,0.337801,767.656
14,MLP,mlp.down_proj,6.0625,-5.5,0.031616803,189.85855
15,Attention,self_attn.q_proj,68.5,-8.125,0.33048475,839.11127
15,Attention,self_attn.k_proj,68.5,-8.125,0.33048475,839.11127
15,Attention,self_attn.v_proj,68.5,-8.125,0.33048475,839.11127
15,Attention,self_attn.o_proj,8.625,-5.46875,0.08728577,40.97655
15,MLP,mlp.gate_proj,68.5,-8.1875,0.34825885,706.44525
15,MLP,mlp.up_proj,68.5,-8.1875,0.34825885,706.44525
15,MLP,mlp.down_proj,8.5625,-6.96875,0.033059385,507.78613
16,Attention,self_attn.q_proj,69.0,-8.1875,0.34439242,730.40967
16,Attention,self_attn.k_proj,69.0,-8.1875,0.34439242,730.40967
16,Attention,self_attn.v_proj,69.0,-8.1875,0.34439242,730.40967
16,Attention,self_attn.o_proj,5.28125,-4.5,0.07385559,19.854895
16,MLP,mlp.gate_proj,69.0,-8.25,0.3646008,608.2621
16,MLP,mlp.up_proj,69.0,-8.25,0.3646008,608.2621
16,MLP,mlp.down_proj,13.4375,-32.25,0.035166617,29502.918
17,Attention,self_attn.q_proj,69.0,-8.5625,0.36311245,605.90076
17,Attention,self_attn.k_proj,69.0,-8.5625,0.36311245,605.90076
17,Attention,self_attn.v_proj,69.0,-8.5625,0.36311245,605.90076
17,Attention,self_attn.o_proj,25.0,-2.4375,0.07167857,2331.5974
17,MLP,mlp.gate_proj,69.0,-8.5625,0.3693823,570.8729
17,MLP,mlp.up_proj,69.0,-8.5625,0.3693823,570.8729
17,MLP,mlp.down_proj,38.5,-3.375,0.034800727,45127.88
18,Attention,self_attn.q_proj,69.0,-8.375,0.3712796,555.36237
18,Attention,self_attn.k_proj,69.0,-8.375,0.3712796,555.36237
18,Attention,self_attn.v_proj,69.0,-8.375,0.3712796,555.36237
18,Attention,self_attn.o_proj,4.5625,-3.796875,0.09065159,13.955996
18,MLP,mlp.gate_proj,69.0,-8.375,0.39376497,455.39154
18,MLP,mlp.up_proj,69.0,-8.375,0.39376497,455.39154
18,MLP,mlp.down_proj,21.25,-5.0,0.04119048,4767.823
19,Attention,self_attn.q_proj,69.0,-8.25,0.39845663,428.9354
19,Attention,self_attn.k_proj,69.0,-8.25,0.39845663,428.9354
19,Attention,self_attn.v_proj,69.0,-8.25,0.39845663,428.9354
19,Attention,self_attn.o_proj,5.1875,-10.5,0.11118698,63.332886
19,MLP,mlp.gate_proj,69.0,-8.4375,0.42011222,352.43564
19,MLP,mlp.up_proj,69.0,-8.4375,0.42011222,352.43564
19,MLP,mlp.down_proj,6.0,-28.375,0.047747508,5672.649
20,Attention,self_attn.q_proj,68.5,-8.4375,0.4276325,318.02097
20,Attention,self_attn.k_proj,68.5,-8.4375,0.4276325,318.02097
